countryorigin,countrydestination,origlon,origlat,destlon,destlat,Year,flights
Argentina,Germany,-65.17536077114173,-35.4468214894951,10.288485092742851,51.13372269040778,2019,113196
South Africa,Israel,25.04801387986168,-28.947033259979115,35.003851206429005,31.4849193900197,2019,8507
Netherlands,United Arab Emirates,5.512217100965399,52.298700374441786,54.20671476159633,23.86863365334761,2019,24319
Germany,Argentina,10.288485092742851,51.13372269040778,-65.17536077114173,-35.4468214894951,2019,3408
Portugal,Ukraine,-8.055765588295687,39.63404977497817,31.22912207026649,49.14882260840351,2019,7074
France,United Arab Emirates,-2.8766966992706267,42.46070432663372,54.20671476159633,23.86863365334761,2019,24319
India,Germany,79.59370376325381,22.92500640740852,10.288485092742851,51.13372269040778,2019,113196
Belgium,United Arab Emirates,4.580834113854935,50.65244095902296,54.20671476159633,23.86863365334761,2019,24319
United States of America,Israel,-112.5994359115045,45.70562800215178,35.003851206429005,31.4849193900197,2019,8507
Netherlands,Israel,5.512217100965399,52.298700374441786,35.003851206429005,31.4849193900197,2019,8507
United States of America,Philippines,-112.5994359115045,45.70562800215178,122.90267236988682,11.763799362297664,2019,4987
France,Brazil,-2.8766966992706267,42.46070432663372,-53.05434003576711,-10.806773643498916,2019,5919
United Arab Emirates,India,54.20671476159633,23.86863365334761,79.59370376325381,22.92500640740852,2019,15268
United States of America,Netherlands,-112.5994359115045,45.70562800215178,5.512217100965399,52.298700374441786,2019,38218
Greece,United Arab Emirates,22.719813447095053,39.06671589971396,54.20671476159633,23.86863365334761,2019,24319
Saudi Arabia,Philippines,44.51636376826477,24.123289839105293,122.90267236988682,11.763799362297664,2019,4987
France,India,-2.8766966992706267,42.46070432663372,79.59370376325381,22.92500640740852,2019,15268
Spain,United Arab Emirates,-3.6170206023873743,40.348656106226734,54.20671476159633,23.86863365334761,2019,24319
Greece,United Kingdom,22.719813447095053,39.06671589971396,-2.8531353951805545,53.91477348053706,2019,133762
United States of America,Taiwan,-112.5994359115045,45.70562800215178,120.97480073748623,23.740964979784938,2019,11067
United States of America,China,-112.5994359115045,45.70562800215178,103.88361230063248,36.555066531858685,2019,4230
Belgium,Israel,4.580834113854935,50.65244095902296,35.003851206429005,31.4849193900197,2019,8507
Kazakhstan,Thailand,67.2846109811001,48.19166075218232,101.00613354626108,15.01697499141648,2019,12637
United States of America,Switzerland,-112.5994359115045,45.70562800215178,8.118300613385486,46.79173768366762,2019,36349
Finland,Qatar,26.21176461029636,64.50409403963651,51.1835025789133,25.32185097420669,2019,12321
Switzerland,Israel,8.118300613385486,46.79173768366762,35.003851206429005,31.4849193900197,2019,8507
Italy,United Arab Emirates,12.140788372235871,42.751183052964265,54.20671476159633,23.86863365334761,2019,24319
Serbia,Qatar,20.819651926382583,44.23303653365162,51.1835025789133,25.32185097420669,2019,12321
Portugal,United Arab Emirates,-8.055765588295687,39.63404977497817,54.20671476159633,23.86863365334761,2019,24319
Canada,Switzerland,-98.14238137209708,61.46907614534896,8.118300613385486,46.79173768366762,2019,36349
United Kingdom,Taiwan,-2.8531353951805545,53.91477348053706,120.97480073748623,23.740964979784938,2019,11067
India,United States of America,79.59370376325381,22.92500640740852,-112.5994359115045,45.70562800215178,2019,86817
India,United Kingdom,79.59370376325381,22.92500640740852,-2.8531353951805545,53.91477348053706,2019,133762
Italy,South Africa,12.140788372235871,42.751183052964265,25.04801387986168,-28.947033259979115,2019,2883
Turkey,Qatar,35.116900150938406,39.06837194061471,51.1835025789133,25.32185097420669,2019,12321
United States of America,Argentina,-112.5994359115045,45.70562800215178,-65.17536077114173,-35.4468214894951,2019,3408
United States of America,Greece,-112.5994359115045,45.70562800215178,22.719813447095053,39.06671589971396,2019,24004
Spain,Iceland,-3.6170206023873743,40.348656106226734,-18.761028770831768,65.07427633529105,2019,5224
Denmark,Qatar,9.876372937675002,56.06393446179454,51.1835025789133,25.32185097420669,2019,12321
